,name,BPA,geo_BPA,plastic_gen,mpw,inadequat_waste,inadequat_waste_2
1,Aruba,NA,NA,9352,0.0012,1,93.52
2,Afghanistan,NA,NA,NA,NA,NA,NA
3,Angola,NA,NA,528843,0.1964,71,375478.53
4,Anguilla,NA,NA,NA,0.0002,2,NA
5,Albania,NA,NA,73364,0.0933,45,33013.8
6,Aland,NA,NA,NA,NA,NA,NA
7,Andorra,NA,NA,NA,NA,NA,NA
8,United Arab Emirates,NA,NA,600741,0.0095,0,0
9,Argentina,NA,NA,2753550,0.4955,12,330426
10,Armenia,NA,NA,NA,NA,NA,NA
11,American Samoa,NA,NA,NA,NA,NA,NA
12,Antarctica,NA,NA,NA,NA,NA,NA
13,Ashmore and Cartier Is.,NA,NA,NA,NA,NA,NA
14,Fr. S. Antarctic Lands,NA,NA,NA,NA,NA,NA
15,Antigua and Barb.,NA,NA,22804,0.0039,6,1368.24
16,Australia,30,26.597599,900658,0.0436,0,0
17,Austria,214.6,32.751409,NA,NA,NA,NA
18,Azerbaijan,NA,NA,NA,NA,NA,NA
19,Burundi,NA,NA,NA,NA,NA,NA
20,Belgium,26.857143,20.036322,318151,0.0086,0,0
21,Benin,NA,NA,144382,0.1351,83,119837.06
22,Burkina Faso,NA,NA,NA,NA,NA,NA
23,Bangladesh,NA,NA,1888170,2.4725,87,1642707.9
24,Bulgaria,102.375,17.272686,415707,0.0588,31,128869.17
25,Bahrain,NA,NA,59785,0.0137,10,5978.5
26,Bahamas,NA,NA,51364,0.0042,1,513.64
27,Bosnia and Herz.,NA,NA,195633,0.0407,40,78253.2
28,St-Barthélemy,NA,NA,NA,NA,NA,NA
29,Belarus,NA,NA,NA,NA,NA,NA
30,Belize,NA,NA,20191,0.0122,29,5855.39
31,Bermuda,NA,NA,5990,0.0004,0,0
32,Bolivia,NA,NA,NA,NA,NA,NA
33,Brazil,2463.403571,130.513734,11852055,1.4804,9,1066684.95
34,Barbados,NA,NA,58164,0.0109,4,2326.56
35,Brunei,NA,NA,3688,0.0003,1,36.88
36,Bhutan,NA,NA,NA,NA,NA,NA
37,Botswana,NA,NA,NA,NA,NA,NA
38,Central African Rep.,NA,NA,NA,NA,NA,NA
39,Canada,64.844167,2.391051,1154309,0.025,0,0
40,Switzerland,28.48,28.48,NA,NA,NA,NA
41,Chile,NA,NA,738106,0.0683,7,51667.42
42,China,298.984728,54.769905,59079741,27.6966,74,43719008.34
43,Côte d'Ivoire,NA,NA,766988,0.611,82,628930.16
44,Cameroon,NA,NA,335305,0.087,81,271597.05
45,Dem. Rep. Congo,NA,NA,1059795,0.0478,85,900825.75
46,Congo,NA,NA,110479,0.0527,77,85068.83
47,Cook Is.,NA,NA,NA,0.0013,36,NA
48,Colombia,NA,NA,2413455,0.2895,21,506825.55
49,Comoros,NA,NA,50599,0.1822,83,41997.17
50,Cape Verde,NA,NA,11919,0.0294,74,8820.06
51,Costa Rica,NA,NA,428029,0.1322,16,68484.64
52,Cuba,NA,NA,368154,0.2846,23,84675.42
53,Curaçao,NA,NA,13678,0.0008,0,0
54,Cayman Is.,NA,NA,5106,0.0003,0,0
55,N. Cyprus,NA,NA,NA,NA,NA,NA
56,Cyprus,1.666667,6.198369,100713,0.0057,0,0
57,Czech Rep.,1638.136842,28.809818,NA,NA,NA,NA
58,Germany,158.922302,15.202114,14476561,0.0981,0,0
59,Djibouti,NA,NA,31999,0.0544,73,23359.27
60,Dominica,NA,NA,3885,0.0025,19,738.15
61,Denmark,71.269231,10.945192,95171,0.0056,0,0
62,Dominican Rep.,NA,NA,520238,0.3713,25,130059.5
63,Algeria,NA,NA,1898343,1.6347,58,1101038.94
64,Ecuador,NA,NA,801321,0.3435,30,240396.3
65,Egypt,NA,NA,5464471,3.0367,67,3661195.57
66,Eritrea,NA,NA,72120,0.0511,77,55532.4
67,Spain,182.503623,35.532712,4709157,0.144,0,0
68,Estonia,115.333333,19.811563,NA,0.0188,9,NA
69,Ethiopia,NA,NA,85534,NA,NA,NA
70,Finland,89.225,17.441178,458084,0.0157,0,0
71,Fiji,NA,NA,59324,0.1547,78,46272.72
72,Falkland Is.,NA,NA,NA,0,0,NA
73,France,207.103,76.397131,4557128,0.0757,0,0
74,Faeroe Is.,NA,NA,4466,0.0003,0,0
75,Micronesia,NA,NA,3895,0.0151,81,3154.95
76,Gabon,NA,NA,32329,0.0191,34,10991.86
77,United Kingdom,27.00566,15.041447,4925590,0.2121,0,0
78,Georgia,NA,NA,97443,0.0454,51,49695.93
79,Guernsey,NA,NA,NA,0.0003,0,NA
80,Ghana,0,0,357877,0.2876,81,289880.37
81,Guinea,NA,NA,118196,0.0581,84,99284.64
82,Gambia,NA,NA,29646,0.0616,84,24902.64
83,Guinea-Bissau,NA,NA,30666,0.0636,83,25452.78
84,Eq. Guinea,NA,NA,49990,0.0188,30,14997
85,Greece,138.666667,86.971732,811858,0.0447,0,0
86,Grenada,NA,NA,12417,0.0071,18,2235.06
87,Greenland,NA,NA,5234,0.0003,0,0
88,Guatemala,NA,NA,1495229,0.2875,36,538282.44
89,Guam,NA,NA,14666,0.0012,0,0
90,Guyana,NA,NA,159681,0.1319,36,57485.16
91,Hong Kong,60.46875,22.539819,1020406,0.0895,1,10204.06
92,Heard I. and McDonald Is.,NA,NA,NA,NA,NA,NA
93,Honduras,NA,NA,565317,0.3003,40,226126.8
94,Croatia,98.5,13.440434,406347,0.0517,9,36571.23
95,Haiti,NA,NA,328487,0.4628,47,154388.89
96,Hungary,75,16.286706,NA,NA,NA,NA
97,Indonesia,7.7,8.699425,5045714,10.1019,81,4087028.34
98,Isle of Man,NA,NA,NA,NA,NA,NA
99,India,333.85,62.371397,4493080,1.8836,85,3819118
100,Indian Ocean Ter.,NA,NA,NA,NA,NA,NA
101,Br. Indian Ocean Ter.,NA,NA,NA,NA,NA,NA
102,Ireland,115.333333,19.811563,715716,0.0368,0,0
103,Iran,1000,1000,3919268,0.7769,50,1959634
104,Iraq,NA,NA,1156524,0.0489,63,728610.12
105,Iceland,NA,NA,32620,0.0019,0,0
106,Israel,NA,NA,826436,0.0597,1,8264.36
107,Italy,92.228959,31.991733,2899258,0.1029,0,0
108,Jamaica,16,16,34962,0.0315,27,9439.74
109,Jersey,NA,NA,NA,NA,NA,NA
110,Jordan,NA,NA,377506,0.0055,58,218953.48
111,Japan,174.308571,46.827562,7993489,0.4494,0,0
112,Siachen Glacier,NA,NA,NA,NA,NA,NA
113,Kazakhstan,NA,NA,NA,NA,NA,NA
114,Kenya,NA,NA,407506,0.0712,83,338229.98
115,Kyrgyzstan,NA,NA,NA,NA,NA,NA
116,Cambodia,3.35,4.349713,344698,0.0932,87,299887.26
117,Kiribati,NA,NA,3859,0.0096,84,3241.56
118,St. Kitts and Nevis,NA,NA,12280,0.0022,6,736.8
119,Korea,3642.305882,84.655336,2025772,0.106,0,0
120,Kosovo,NA,NA,NA,NA,NA,NA
121,Kuwait,NA,NA,750690,0.0361,0,0
122,Lao PDR,3.35,4.06448,NA,NA,NA,NA
123,Lebanon,NA,NA,148807,0.1502,34,50594.38
124,Liberia,NA,NA,121050,0.1781,84,101682
125,Libya,NA,NA,324250,0.1657,23,74577.5
126,Saint Lucia,NA,NA,32882,0.0211,20,6576.4
127,Liechtenstein,NA,NA,NA,NA,NA,NA
128,Sri Lanka,NA,NA,2621606,4.9968,82,2149716.92
129,Lesotho,NA,NA,NA,NA,NA,NA
130,Lithuania,5,5,149227,0.0109,14,20891.78
131,Luxembourg,5,5,NA,NA,NA,NA
132,Latvia,NA,NA,94935,0.0323,14,13290.9
133,Macao,NA,NA,72126,0.0022,0,0
134,St-Martin,NA,NA,NA,NA,NA,NA
135,Morocco,NA,NA,863555,0.9739,66,569946.3
136,Monaco,NA,NA,3412,0.0002,0,0
137,Moldova,NA,NA,NA,NA,NA,NA
138,Madagascar,NA,NA,123526,0.1084,84,103761.84
139,Maldives,98.5,13.440434,43134,0.0988,66,28468.44
140,Mexico,637.01,130.446274,3725463,0.3182,12,447055.56
141,Marshall Is.,NA,NA,3674,0.01,77,2828.98
142,Macedonia,NA,NA,NA,NA,NA,NA
143,Mali,NA,NA,NA,NA,NA,NA
144,Malta,5,5,32377,0.0082,6,1942.62
145,Myanmar,NA,NA,1373018,1.4391,87,1194525.66
146,Montenegro,NA,NA,32557,0.0139,30,9767.1
147,Mongolia,NA,NA,NA,NA,NA,NA
148,N. Mariana Is.,NA,NA,5006,0.0007,0,0
149,Mozambique,NA,NA,132612,0.0017,67,88850.04
150,Mauritania,NA,NA,59287,0.0435,82,48615.34
151,Montserrat,NA,NA,NA,0.0001,12,NA
152,Mauritius,NA,NA,104971,0.176,51,53535.21
153,Malawi,NA,NA,NA,NA,NA,NA
154,Malaysia,28.34641,9.191339,2031675,2.9419,55,1117421.25
155,Namibia,NA,NA,114222,0.0172,66,75386.52
156,New Caledonia,NA,NA,22995,0.0015,0,0
157,Niger,NA,NA,NA,NA,NA,NA
158,Norfolk Island,NA,NA,NA,0.0002,82,NA
159,Nigeria,21272.91818,238.179192,5961750,2.674,81,4829017.5
160,Nicaragua,NA,NA,299480,0.2651,45,134766
161,Niue,NA,NA,NA,0,0,NA
162,Netherlands,135.107059,37.504062,2571398,0.087,0,0
163,Norway,52.6,8.699609,499682,0.0264,0,0
164,Nepal,NA,NA,NA,NA,NA,NA
165,Nauru,NA,NA,527,NA,NA,NA
166,New Zealand,25,25.690465,525630,0.0292,0,0
167,Oman,NA,NA,93251,0.0146,4,3730.04
168,Pakistan,NA,NA,6412210,1.5089,86,5514500.6
169,Panama,NA,NA,192818,0.108,18,34707.24
170,Pitcairn Is.,NA,NA,NA,NA,NA,NA
171,Peru,NA,NA,1543879,0.6106,25,385969.75
172,Philippines,NA,NA,2565766,5.9153,81,2078270.46
173,Palau,NA,NA,1076,0.0022,56,602.56
174,Papua New Guinea,NA,NA,267234,0.2821,86,229821.24
175,Poland,91.769048,39.393867,1346905,0.0493,12,161628.6
176,Puerto Rico,NA,NA,342306,0.0519,2,6846.12
177,Dem. Rep. Korea,NA,NA,484700,0.9557,88,426536
178,Portugal,509.065769,58.46999,1022683,0.0515,0,0
179,Paraguay,NA,NA,NA,NA,NA,NA
180,Palestine,NA,NA,87636,0.0176,6,5258.16
181,Fr. Polynesia,NA,NA,24634,0.004,3,739.02
182,Qatar,NA,NA,103933,0.0024,0,0
183,Romania,88.5,15.856732,310385,0.0113,26,80700.1
184,Russia,NA,NA,5839685,0.2536,16,934349.6
185,Rwanda,NA,NA,NA,NA,NA,NA
186,W. Sahara,NA,NA,NA,NA,NA,NA
187,Saudi Arabia,NA,NA,1561618,0.0645,8,124929.44
188,Sudan,NA,NA,1292740,0.072,80,1034192
189,S. Sudan,NA,NA,NA,NA,NA,NA
190,Senegal,NA,NA,485586,0.8001,82,398180.52
191,Singapore,349.3625,157.200692,359483,0.0203,0,0
192,S. Geo. and S. Sandw. Is.,NA,NA,NA,NA,NA,NA
193,Saint Helena,NA,NA,NA,0.0003,25,NA
194,Solomon Is.,NA,NA,19842,0.064,86,17064.12
195,Sierra Leone,NA,NA,96655,0.1143,84,81190.2
196,El Salvador,NA,NA,330763,0.3729,33,109151.79
197,San Marino,NA,NA,NA,NA,NA,NA
198,Somaliland,NA,NA,NA,NA,NA,NA
199,Somalia,NA,NA,237569,0.3188,85,201933.65
200,St. Pierre and Miquelon,NA,NA,NA,0,0,NA
201,Serbia,98.5,13.440434,NA,NA,NA,NA
202,Săo Tomé and Principe,NA,NA,6571,0.016,81,5322.51
203,Suriname,NA,NA,31300,0.0124,15,4695
204,Slovakia,82.666667,17.035304,NA,NA,NA,NA
205,Slovenia,NA,NA,108421,0.0017,1,1084.21
206,Sweden,72.44,14.24832,164305,0.0068,0,0
207,Swaziland,28.48,16.238602,NA,NA,NA,NA
208,Sint Maarten,NA,NA,3263,0.0002,0,0
209,Seychelles,NA,NA,11730,0.0145,37,4340.1
210,Syria,NA,NA,1365594,0.4959,65,887636.1
211,Turks and Caicos Is.,NA,NA,2851,0.0002,0,0
212,Chad,NA,NA,NA,NA,NA,NA
213,Togo,NA,NA,135294,0.1112,84,113646.96
214,Thailand,153.884545,10.260826,3532495,3.2274,73,2578721.35
215,Tajikistan,NA,NA,NA,NA,NA,NA
216,Turkmenistan,NA,NA,NA,NA,NA,NA
217,Timor-Leste,NA,NA,NA,NA,NA,NA
218,Tonga,NA,NA,8476,0.0208,78,6611.28
219,Trinidad and Tobago,NA,NA,1745123,0.2954,3,52353.69
220,Tunisia,NA,NA,559235,0.7358,60,335541
221,Turkey,115.333333,19.811563,5596657,1.526,16,895465.12
222,Taiwan,2999.214,262.693218,NA,0.1436,0,NA
223,Tanzania,NA,NA,386998,0.1526,84,325078.32
224,Uganda,NA,NA,NA,NA,NA,NA
225,Ukraine,98.5,13.440434,1724509,0.4044,49,845009.41
226,Uruguay,NA,NA,310379,0.0677,8,24830.32
227,United States,251.220642,24.603345,37825550,0.8649,0,0
228,Uzbekistan,NA,NA,NA,NA,NA,NA
229,Vatican,NA,NA,NA,NA,NA,NA
230,St. Vin. and Gren.,NA,NA,NA,NA,NA,NA
231,Venezuela,NA,NA,2669998,0.3214,5,133499.9
232,British Virgin Is.,NA,NA,2504,0.0002,0,0
233,U.S. Virgin Is.,NA,NA,NA,NA,NA,NA
234,Vietnam,78.35,58.001724,3268227,5.7588,86,2810675.22
235,Vanuatu,NA,NA,25443,0.0706,81,20608.83
236,Wallis and Futuna Is.,NA,NA,NA,NA,NA,NA
237,Samoa,NA,NA,7000,0.0161,80,5600
238,Yemen,NA,NA,887497,0.531,73,647872.81
239,South Africa,NA,NA,4465798,1.9784,54,2411530.92
240,Zambia,NA,NA,NA,NA,NA,NA
241,Zimbabwe,NA,NA,NA,NA,NA,NA
